X,Y,ELEV,ELEVATION
645048.750,4474350.810,1445.790039,1445.79
645048.560,4474350.720,1445.790039,1445.79
645035.380,4474377.480,1445.910034,1445.91
645035.440,4474377.150,1446.030029,1446.03
645035.500,4474376.980,1446.050049,1446.05
645035.500,4474376.800,1445.939941,1445.94
645035.560,4474376.700,1446.079956,1446.08
645035.630,4474376.550,1446.089966,1446.09
645035.690,4474376.490,1446.089966,1446.09
645035.750,4474376.450,1446.099976,1446.1
645035.810,4474376.410,1446.040039,1446.04
645036.060,4474376.360,1445.910034,1445.91
645036.250,4474376.330,1445.819946,1445.82
645036.500,4474376.320,1445.790039,1445.79
645036.810,4474376.330,1445.729980,1445.73
645037.190,4474376.410,1445.660034,1445.66
645037.500,4474376.530,1445.579956,1445.58
645037.880,4474376.640,1445.550049,1445.55
645038.310,4474376.780,1445.459961,1445.46
645038.690,4474376.910,1445.400024,1445.4
645039.120,4474377.060,1445.359985,1445.36
645039.500,4474377.230,1445.339966,1445.34
645039.940,4474377.400,1445.250000,1445.25
645040.370,4474377.590,1445.260010,1445.26
645040.810,4474377.840,1445.319946,1445.32
645041.250,4474378.120,1445.319946,1445.32
645041.750,4474378.400,1445.339966,1445.34
645042.190,4474378.670,1445.209961,1445.21
645042.620,4474378.870,1445.239990,1445.24
645043.120,4474379.090,1445.349976,1445.35
645043.560,4474379.360,1445.369995,1445.37
645044.060,4474379.640,1445.319946,1445.32
645044.560,4474379.920,1445.319946,1445.32
645045.060,4474380.200,1445.290039,1445.29
645045.560,4474380.460,1445.239990,1445.24
645046.000,4474380.710,1445.250000,1445.25
645046.500,4474380.960,1445.270020,1445.27
645047.000,4474381.240,1445.250000,1445.25
645047.500,4474381.520,1445.270020,1445.27
645048.000,4474381.820,1445.219971,1445.22
645048.500,4474382.090,1445.349976,1445.35
645043.690,4474435.200,1445.180054,1445.18
645043.000,4474435.100,1445.150024,1445.15
645042.310,4474435.000,1445.250000,1445.25
645041.690,4474434.870,1445.280029,1445.28
645041.060,4474434.730,1445.339966,1445.34
645040.440,4474434.610,1445.319946,1445.32
645039.810,4474434.480,1445.300049,1445.3
645039.190,4474434.350,1445.229980,1445.23
645038.560,4474434.230,1445.229980,1445.23
645037.940,4474434.140,1445.280029,1445.28
645037.310,4474434.050,1445.280029,1445.28
645036.690,4474433.970,1445.209961,1445.21
645036.060,4474433.860,1445.209961,1445.21
645035.440,4474433.740,1445.189941,1445.19
645034.810,4474433.640,1445.119995,1445.12
645034.190,4474433.540,1445.109985,1445.11
645033.560,4474433.450,1445.069946,1445.07
645032.940,4474433.350,1445.069946,1445.07
645032.310,4474433.240,1444.969971,1444.97
645031.750,4474433.110,1445.000000,1445
645031.130,4474432.960,1445.119995,1445.12
645030.560,4474432.810,1445.079956,1445.08
645030.000,4474432.670,1445.000000,1445
645029.440,4474432.540,1445.040039,1445.04
645028.940,4474432.400,1444.969971,1444.97
645028.310,4474432.260,1445.040039,1445.04
645027.750,4474432.130,1445.119995,1445.12
645027.250,4474431.990,1445.130005,1445.13
645026.690,4474431.850,1445.160034,1445.16
645026.190,4474431.700,1445.170044,1445.17
645025.620,4474431.560,1445.260010,1445.26
645025.060,4474431.430,1445.250000,1445.25
645024.560,4474431.310,1445.349976,1445.35
645024.060,4474431.190,1445.390015,1445.39
645023.500,4474431.120,1445.459961,1445.46
645023.000,4474431.050,1445.530029,1445.53
645022.500,4474431.000,1445.589966,1445.59
645022.000,4474430.940,1445.619995,1445.62
645021.500,4474430.900,1445.640015,1445.64
645021.060,4474430.830,1445.800049,1445.8
645020.620,4474430.760,1445.810059,1445.81
645020.250,4474430.700,1445.910034,1445.91
645019.880,4474430.660,1445.949951,1445.95
645019.690,4474430.560,1445.949951,1445.95
645019.500,4474430.450,1445.969971,1445.97
645019.440,4474430.320,1445.979980,1445.98
645019.380,4474430.200,1445.969971,1445.97
645019.440,4474430.140,1445.949951,1445.95
645023.440,4474407.220,1445.510010,1445.51
645023.060,4474407.100,1445.680054,1445.68
645022.940,4474407.040,1445.819946,1445.82
645022.810,4474406.980,1445.859985,1445.86
645022.750,4474406.890,1445.829956,1445.83
645022.690,4474406.760,1445.839966,1445.84
645022.690,4474406.620,1445.859985,1445.86
645022.750,4474406.480,1445.819946,1445.82
645022.810,4474406.320,1445.760010,1445.76
645022.870,4474406.160,1445.750000,1445.75
645023.060,4474405.970,1445.760010,1445.76
645023.250,4474405.810,1445.689941,1445.69
645023.440,4474405.660,1445.609985,1445.61
645023.690,4474405.510,1445.449951,1445.45
645023.940,4474405.370,1445.380005,1445.38
645024.250,4474405.220,1445.359985,1445.36
645024.630,4474405.050,1445.290039,1445.29
645024.940,4474404.900,1445.229980,1445.23
645025.250,4474404.770,1445.290039,1445.29
645025.620,4474404.640,1445.260010,1445.26
645026.000,4474404.510,1445.199951,1445.2
645026.380,4474404.390,1445.160034,1445.16
645026.750,4474404.300,1445.189941,1445.19
645027.060,4474404.220,1445.170044,1445.17
645027.440,4474404.160,1445.189941,1445.19
645027.810,4474404.110,1445.209961,1445.21
645028.190,4474404.150,1445.199951,1445.2
645028.560,4474404.190,1445.270020,1445.27
645028.940,4474404.230,1445.209961,1445.21
645029.310,4474404.290,1445.199951,1445.2
645029.690,4474404.370,1445.209961,1445.21
645030.060,4474404.490,1445.199951,1445.2
645030.440,4474404.610,1445.229980,1445.23
645030.810,4474404.690,1445.300049,1445.3
645031.190,4474404.770,1445.250000,1445.25
645031.620,4474404.860,1445.260010,1445.26
645032.000,4474404.940,1445.280029,1445.28
645032.440,4474405.040,1445.290039,1445.29
645032.870,4474405.110,1445.300049,1445.3
645033.310,4474405.180,1445.339966,1445.34
645033.750,4474405.210,1445.339966,1445.34
645034.120,4474405.240,1445.339966,1445.34
645034.560,4474405.260,1445.339966,1445.34
645035.000,4474405.270,1445.189941,1445.19
645035.440,4474405.280,1445.160034,1445.16
645035.880,4474405.280,1445.189941,1445.19
645036.310,4474405.270,1445.270020,1445.27
645036.750,4474405.270,1445.329956,1445.33
645037.190,4474405.270,1445.310059,1445.31
